Time Lon Lat Dep(km) Mag
2021-04-03T01:16:39.455000Z -7.843 -58.0139 10.0 6.6
2021-04-01T09:56:37.576000Z -177.6507 -29.9502 20.0 6.5
2021-03-20T09:09:44.002000Z 141.6328 38.4754 43.0 7.0
2021-03-16T18:38:21.233000Z 163.1803 54.7368 13.23 6.6
2021-03-04T19:28:33.176000Z -177.2791 -29.7226 28.94 8.1
2021-03-04T17:41:23.379000Z -177.8415 -29.6762 43.0 7.4
2021-03-04T13:27:35.784000Z 179.3584 -37.5431 15.48 7.3
2021-02-16T00:49:28.000000Z -167.8 -17.8 14.0 6.7
2021-02-13T14:07:50.838000Z 141.7196 37.7602 51.89 7.1
2021-02-10T13:19:55.532000Z 171.657 -23.0508 10.0 7.7
2021-02-03T05:23:43.520000Z -97.8 -36.2797 10.0 6.7
2021-01-23T23:36:50.910000Z -55.4903 -61.8117 9.8 6.9
2021-01-21T12:23:04.237000Z 127.5185 5.0054 80.0 7.0
2021-01-11T21:32:59.020000Z 100.437 51.2774 10.0 6.7
2020-12-27T21:39:14.804000Z -74.9881 -39.3374 10.0 6.7
2020-10-30T11:51:27.563000Z 26.7901 37.9175 21.0 7.0
2020-10-19T20:54:39.436000Z -159.6519 54.6093 31.08 7.6
2020-09-18T21:43:58.936000Z -26.8408 0.9167 10.0 6.9
2020-09-06T06:51:19.004000Z -37.2174 7.6929 10.0 6.7
2020-09-01T21:09:17.626000Z -71.3716 -27.9154 14.52 6.5
2020-09-01T04:09:28.731000Z -71.3031 -27.9728 23.0 6.8
2020-08-30T21:20:29.757000Z -29.8656 0.7821 10.0 6.5
2020-08-21T04:09:52.217000Z 123.4829 -6.6869 627.76 6.9
2020-08-18T22:29:24.731000Z 101.2411 -4.2069 26.0 6.9
2020-08-18T22:23:59.478000Z 101.1342 -4.3259 22.0 6.8
2020-08-18T00:03:48.698000Z 124.1272 12.0257 10.0 6.6
2020-07-22T06:12:44.593000Z -158.5217 55.0298 28.0 7.8
2020-07-17T02:50:22.162000Z 147.7754 -7.8386 73.0 7.0
2020-07-06T22:54:47.897000Z 110.6952 -5.5956 538.73 6.7
2020-06-23T15:29:04.329000Z -96.0101 15.8829 20.0 7.4
2020-06-18T12:49:53.747000Z -177.8383 -33.2938 10.0 7.4
2020-06-13T15:51:24.069000Z 128.2713 28.8591 165.0 6.6
2020-06-03T07:35:34.844000Z -68.4217 -23.2955 96.84 6.8
2020-05-15T11:03:27.176000Z -117.8497 38.1689 2.7 6.5
2020-05-12T22:41:12.177000Z 166.6482 -12.0662 107.0 6.6
2020-05-06T13:53:56.960000Z 129.8613 -6.7949 107.0 6.8
2020-05-02T12:51:06.662000Z 25.7124 34.2045 16.99 6.6
2020-04-18T08:25:37.081000Z 140.1312 27.1271 453.0 6.6
2020-03-31T23:52:31.094000Z -115.1356 44.4603 14.53 6.78
2020-03-25T02:49:20.896000Z 157.6914 48.9688 55.39 7.5
2020-02-13T10:33:44.492000Z 148.9293 45.6313 144.0 7.0
2020-01-28T19:10:24.963000Z -78.7582 19.418 15.18 7.7
2020-01-24T17:55:13.987000Z 39.0883 38.3897 10.0 6.7
2019-12-15T06:11:51.155000Z 125.1739 6.6969 18.0 6.8
2019-11-14T16:17:40.582000Z 126.414 1.6199 33.0 7.1
2019-11-08T10:44:44.876000Z -179.4911 -21.9688 582.92 6.5
2019-11-04T22:43:32.280000Z -175.272 -18.5747 10.0 6.6
2019-10-31T01:11:19.122000Z 125.1833 6.9079 10.0 6.5
2019-10-29T01:04:43.863000Z 124.9952 6.7587 14.95 6.6
2019-09-29T15:57:53.236000Z -73.1631 -35.4756 11.0 6.7
2019-09-25T23:46:43.029000Z 128.3683 -3.46 8.97 6.5
2019-09-01T15:54:20.411000Z -178.567 -20.3599 591.0 6.6
2019-08-27T23:55:19.187000Z -26.5801 -60.2152 16.0 6.6
2019-08-02T12:03:27.483000Z 104.8245 -7.2668 52.76 6.9
2019-08-01T18:28:07.272000Z -72.3079 -34.2367 25.0 6.8
2019-07-31T15:02:33.853000Z 167.9982 -16.1985 181.0 6.6
2019-07-14T09:10:50.533000Z 128.0931 -0.529 10.0 7.3
2019-07-14T05:39:23.427000Z 120.3574 -18.2237 10.0 6.6
2019-07-07T15:08:40.525000Z 126.1892 0.5126 35.0 6.9
2019-07-06T03:19:53.040000Z -117.599333 35.7695 8.0 7.1
2019-06-24T02:53:39.830000Z 129.1692 -6.4078 212.0 7.3
2019-06-15T22:55:04.132000Z -178.106 -30.644 46.0 7.3
2019-05-30T09:03:28.971000Z -89.3663 13.1462 25.0 6.6
2019-05-26T07:41:15.058000Z -75.2775 -5.8132 122.4 8.0
2019-05-14T12:58:26.074000Z 152.5694 -4.081 10.0 7.5
2019-05-06T21:19:37.981000Z 146.4505 -6.973 146.0 7.1
2019-04-18T14:46:01.901000Z 139.4904 -51.0555 10.0 6.5
2019-04-12T11:40:49.886000Z 122.5527 -1.8518 17.48 6.8
2019-04-09T17:53:59.096000Z -25.2559 -58.6064 44.83 6.5
2019-03-01T08:50:42.620000Z -70.135 -14.7016 267.0 7.0
2019-02-22T10:17:22.410000Z -77.0231 -2.199 132.36 7.5
2019-02-01T16:14:13.090000Z -92.2981 14.7628 67.93 6.6
2019-01-22T19:01:43.580000Z 42.3568 -43.1219 13.0 6.7
2019-01-20T01:32:51.850000Z -71.4202 -30.071 54.82 6.7
2019-01-15T18:06:34.290000Z 166.8787 -13.3312 35.0 6.6
2019-01-06T17:27:20.670000Z 126.7361 2.2414 60.0 6.6
2019-01-05T19:25:38.580000Z -71.5834 -8.1486 571.18 6.8
