Network,Station,Location,Mean Azimuth,CI95 Low Interval,CI95 High Interval,Data Points Used,Within5?,AbsOffset
BK,HULI,00,1.9026,356.9919,6.8133,118,YES,1.9026
BK,HULL,00,356.4283,348.8349,4.0216,68,YES,3.5717
BK,HUMO,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,HUNT,00,2.0941,351.8423,12.3459,50,YES,2.0941
BK,INGL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,JASP,00,357.2415,352.2817,2.2014,119,YES,2.7585
BK,JCC,00,1.0802,354.8108,7.3496,71,YES,1.0802
BK,JEPS,00,357.8269,353.2078,2.4461,80,YES,2.1731
BK,JEWT,00,359.8505,354.4494,5.2517,89,YES,0.1495
BK,JRSC,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,KARE,00,6.6377,357.5901,15.6853,104,NO,6.6377
BK,KCC,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,KETL,00,358.7669,352.2136,5.3202,92,YES,1.2331
BK,KNEE,00,1.2892,356.0301,6.5484,95,YES,1.2892
BK,KRUG,00,1.2082,354.6481,7.7683,77,YES,1.2082
BK,LAKN,00,0.4478,351.5177,9.3779,73,YES,0.4478
BK,LAND,00,1.6553,356.3975,6.9131,89,YES,1.6553
BK,LCOS,00,6.1973,0.4669,11.9277,107,NO,6.1973
BK,LCOW,00,4.3217,356.0428,12.6005,56,YES,4.3217
BK,LCUV,00,4.9548,358.4706,11.4391,95,YES,4.9548
BK,LEGD,00,4.3425,355.1964,13.4887,87,YES,4.3425
BK,LGMB,00,1.5359,354.6033,8.4684,80,YES,1.5359
BK,LIND,00,8.7611,358.8642,18.6580,88,NO,8.7611
BK,LITV,00,0.7721,351.5918,9.9524,82,YES,0.7721
BK,LLNL,00,359.3585,352.4653,6.2518,67,YES,0.6415
BK,LSIB,00,359.1006,351.7586,6.4427,57,YES,0.8994
BK,LTIB,00,0.7985,352.0091,9.5878,51,YES,0.7985
BK,MBARI,00,9.2050,0.7821,17.6279,51,NO,9.2050
BK,MCCM,00,358.4734,353.1815,3.7654,118,YES,1.5266
BK,MERC,00,3.4601,355.5287,11.3916,105,YES,3.4601
BK,MHC,00,359.1902,354.6840,3.6964,131,YES,0.8098
BK,MHDL,00,0.0000,0.0000,0.0000,0,YES,0.0000
BK,MILL,00,2.0747,357.1022,7.0472,94,YES,2.0747
BK,MKOF,00,355.2770,345.8203,4.7336,35,YES,4.7230
BK,MLKN,00,2.5429,356.1021,8.9837,108,YES,2.5429
BK,MMI,00,355.4802,347.3313,3.6291,113,YES,4.5198
BK,MNDO,00,0.6852,352.2871,9.0833,46,YES,0.6852
BK,MNLT,00,3.1346,355.8858,10.3835,77,YES,3.1346
BK,MNRC,00,2.9781,357.2173,8.7388,87,YES,2.9781
BK,MOD,00,0.3710,353.4762,7.2658,82,YES,0.3710
